   194/799     1.89G   0.02213   0.09688         0     0.119       113       320    0.8003    0.9656    0.9726    0.7474   0.02041   0.08482         0
   195/799     1.89G   0.02198   0.09738         0    0.1194       195       320    0.8512    0.9567    0.9724    0.7505   0.02097   0.08704         0
   196/799     1.89G   0.02062   0.09488         0    0.1155       227       320    0.8427    0.9541     0.971    0.7512    0.0205    0.0854         0
   197/799     1.89G   0.02058   0.09381         0    0.1144       108       320    0.8253    0.9554    0.9695    0.7503   0.02014   0.08546         0
   198/799     1.89G   0.02058   0.09198         0    0.1126       113       320    0.8221    0.9535    0.9686    0.7476   0.02043   0.08536         0
   199/799     1.89G   0.02136   0.09469         0     0.116       150       320    0.7865    0.9688    0.9725    0.7524   0.02032   0.08306         0
   200/799     1.89G   0.02074   0.09223         0     0.113       204       320    0.7933    0.9764    0.9773    0.7519   0.02005     0.082         0
   201/799     1.89G   0.02072   0.09279         0    0.1135       150       320    0.7946    0.9713    0.9765    0.7509   0.02069   0.08375         0
   202/799     1.89G   0.02154   0.09301         0    0.1145       217       320     0.839    0.9643    0.9756    0.7612   0.02053   0.08524         0
   203/799     1.89G   0.02234    0.1013         0    0.1236       142       320    0.8253    0.9675    0.9778    0.7594    0.0204   0.08493         0
   204/799     1.89G   0.02174   0.09523         0     0.117       156       320    0.8234    0.9599    0.9726    0.7512   0.02055   0.08691         0
   205/799     1.89G   0.02056   0.09598         0    0.1165       209       320    0.8181    0.9669    0.9752    0.7598   0.01997   0.08218         0
   206/799     1.89G   0.02013   0.09142         0    0.1115       201       320    0.8185    0.9596    0.9716    0.7577   0.02014    0.0864         0
   207/799     1.89G   0.02137   0.09601         0    0.1174       197       320    0.8034    0.9561    0.9659    0.7344   0.02058    0.0881         0
   208/799     1.89G   0.02122   0.09501         0    0.1162       174       320    0.7884     0.958    0.9657    0.7363   0.02113   0.08844         0
   209/799     1.89G   0.02187   0.09641         0    0.1183        90       320    0.8065    0.9586    0.9699     0.743   0.02061   0.08792         0
   210/799     1.89G   0.02079   0.09115         0    0.1119       186       320    0.8174    0.9548    0.9713    0.7576   0.02022   0.08926         0
   211/799     1.89G   0.02085     0.092         0    0.1128       145       320    0.8174    0.9586    0.9716    0.7543   0.02036   0.08718         0
   212/799     1.89G   0.02143   0.09442         0    0.1159       173       320    0.8158    0.9573    0.9711    0.7601      0.02   0.08674         0
   213/799     1.89G   0.02091   0.09251         0    0.1134       219       320    0.8064    0.9624    0.9723    0.7584   0.01964   0.08563         0
   214/799     1.89G   0.02133   0.09258         0    0.1139       165       320    0.8045    0.9637    0.9738    0.7593   0.01988   0.08601         0
